Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"EPS diluted, Trailing 12 months","EPS diluted, Trailing 12 months - Currency","EPS diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating,Float shares outstanding
TRNS,"Transcat, Inc.",121.58,USD,-1.1544715447154485,8172,0.23492547182015494,1110490248.774309,USD,76.54725177863124,1.5883,USD,13.807681284035548,0,Electronic Technology,Buy,8862070.58736
ALX,"Alexander's, Inc.",209.23,USD,-2.4614237098503575,2308,0.25462809735001435,1095564807,USD,10.002772837664695,20.9172,USD,97.39352817386545,8.39122,Finance,Strong sell,2122099.42416
ULH,"Universal Logistics Holdings, Inc.",39.6,USD,-2.1497405485544787,7956,0.1930646218059162,1042166125.0407711,USD,8.649498722233144,4.5783,USD,-20.349686847599173,1.03781,Transportation,Neutral,6658671.6595
CZGZF,CZG CESKA ZBROJOVKA GROUP SE,29.775,USD,15.18375241779496,690,0.37750300908195644,1035853536.1418182,USD,14.875798332574538,2.0015732489999998,USD,-27.697703427667914,4.54545,Electronic Technology,Strong buy,8977474.2488
KARO,Karooooo Ltd.,33.3526,USD,-6.509880868955838,2108,0.20559635622397127,1030595305.4086561,USD,26.156850443102506,1.2751,USD,10.036244390749037,2.38262,Technology Services,Buy,7328370.7119579995
HCI,"HCI Group, Inc.",94.729,USD,-1.2210636079249284,18238,0.16854482915405983,992420121.4466004,USD,9.652336943784963,9.8141,USD,,1.6684,Finance,Strong buy,8220820.6036
DRWKF,Draegerwerk AG,51.8,USD,1.1916389919906223,777,0.9704008992131884,980587716.6076801,USD,8.963296167377617,5.7791239999999995,USD,,3.53635,Health Technology,Neutral,8431921.600000001
CRML,Critical Metals Corp.,11.69,USD,2.633889376646171,4586,0.26304317900243196,954373137.4556628,USD,,-0.0239,USD,28.443113772455085,0,Non-Energy Minerals,,7703970.86745
HMDPF,Hammond Power Solutions Inc.,80.0636,USD,1.8620865139949105,415,0.5140592097113836,953151095.0323529,USD,23.21245409121663,3.4491656799999997,USD,6.388509744019225,0.534138,Producer Manufacturing,Strong buy,8856663.70702
DGWPF,Draegerwerk AG,48.42,USD,-5.058823529411762,229,0.5889917695473251,944839757.0846155,USD,8.37843244062595,5.7791239999999995,USD,,3.71795,Health Technology,Neutral,2883408
ML,MoneyLion Inc.,87.07,USD,-0.9893108937912265,38487,0.1980217887253071,939309285.7276552,USD,,-2.9193,USD,85.79008085046314,0,Technology Services,Strong buy,5370201.672
HOVNP,Hovnanian Enterprises Inc - Depositary Share representing 1/1000th of 7.625% Series A Preferred Stock,18.08,USD,-0.330211302157137,7017,2.3106559536354054,923191119,USD,0.608277008272971,29.7233,USD,16.685510147999842,0,Consumer Durables,,4630179.79184
KRUS,"Kura Sushi USA, Inc.",81.27,USD,-1.7410228509249157,37492,0.21809327192843153,912715996.031556,USD,593.644996347699,0.1369,USD,,0,Consumer Services,Buy,6085660.2801
GHLD,Guild Holdings Company,14.78,USD,-2.7631578947368416,1574,0.08439542527466047,906669880.0000001,USD,36.14575690877965,0.4089,USD,-69.5985130111524,3.38295,Finance,Buy,9267141.0042
HOV,"Hovnanian Enterprises, Inc.",148.815,USD,-3.12784793646661,14505,0.16634174311926606,894315104.6347156,USD,5.006678262507864,29.7233,USD,16.685510147999842,0,Consumer Durables,,4630179.79184
MRCBF,Morguard Corp.,81.25,USD,0,101,0.5386666666666666,878587996.7905405,USD,4.999501391265555,16.25162064,USD,,0.54054,Finance,Neutral,2896844.9796
